	1	2	3	4	5	6	7	8	9
1367515_at	4.14513389417804	4.77697024589487	4.19932996373747	3.9928457831147	4.66561755230016	4.22491144502159	4.32361816334301	5.00968605121472	4.30503887930888
1367516_at	8.11379099309307	8.34023623483945	8.29471482190186	8.37746005174237	8.28426342525494	8.16963797862413	8.29471482190186	8.20323322629016	8.31932712177134
1367517_at	7.39654297318275	7.5669371501863	7.40440758528508	7.49575223341845	7.51122748002927	7.4382244721508	7.57371822374365	7.62540249151408	7.70835582916503
1367518_at	7.95170161377892	8.01643118081569	7.94621383254095	7.96148531982079	7.99669531722863	7.98020588889466	8.16833668892693	8.13264299862331	7.99669531722863
1367519_at	8.90878218388898	8.95965208243133	8.97300928321112	8.8337105206026	8.97587743398887	8.95965208243133	8.87916946636498	9.09919259373607	9.0101339185601
1367520_at	8.80199831527257	8.72693380964619	8.70764584113626	8.79072376697475	8.78733852589385	8.89042790335739	8.76586138975429	8.80199831527257	8.97017008761493
1367521_at	6.2889673426396	6.50187317607568	6.31382004067502	6.3003100089868	6.65086697969504	6.51741845426451	6.35450457251706	6.91818540425471	6.56382452800857
1367522_at	8.07180156347402	8.03650696158141	8.01004870363407	8.05102740735835	8.01732452651259	8.03084144774226	8.03084144774226	7.95046319038113	8.02048242913685
1367523_at	7.54037875136858	7.80626624297583	7.72131521758718	7.57401681023129	7.72131521758718	7.74247915820814	7.72131521758718	7.82001246633801	8.10598796023264
1367524_at	7.83260396627099	7.74108070025498	7.83998045726488	7.93034924056373	7.74014291315905	7.8038591063953	7.89871400718811	7.67772874906345	7.73758893407026
1367525_at	9.52996560771211	9.34792590100061	9.48126294795554	9.48903271186944	9.43812039119974	9.48126294795554	9.5425986405872	9.41725884139229	9.60535952551804
1367526_at	9.0221088508483	9.01538375442496	9.24014959370292	9.18781965991767	9.16930826649073	9.09683749476942	9.05563390922743	9.1400195802586	9.12678655338248
1367527_at	7.01109548532588	7.61002772534634	7.34406632176326	6.84592594455869	7.42951240769423	7.38525762024838	7.29390998525806	7.90921598489382	7.7986555000721
